task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,6.80437445640564,0.13793103448275862,0.09523809523809523,0.25,0.5656187970271892,0.6199306296691569,0.920824439701174,0.1392065606838546,0.49745885742901236,0.9898612593383138,0.14856176907894755,Naive,True
2,6.1584250926971436,0.11536534745580762,0.0634228187919463,0.6944444444444444,0.5266873553884852,0.7901427232189803,0.9135514249575083,0.13736970766364726,0.7739722648871571,0.8858410019935161,0.18505962006064233,Naive,False
3,6.153269052505493,0.3244787550677975,0.24518042991926858,0.7804232804232804,0.6227554982529049,0.8203115071181838,0.9290606661157378,0.3727712967246788,0.8085557798701962,0.8601997338130872,0.34689641050962283,Naive,False
4,6.161813020706177,0.3992134966805949,0.316277795557731,0.7747405372405372,0.6445229484685931,0.8007654813001763,0.9007974379782366,0.4266680068919626,0.7919078753378411,0.8267904253598154,0.3716023204598006,Naive,False
5,6.129977703094482,0.4528914041713358,0.35404832842933487,0.8164025992839552,0.6686013142366896,0.8150217239875843,0.907375034683886,0.4834882774015262,0.8065347246482487,0.8136408486912137,0.41920915245304835,Naive,False
6,6.104213714599609,0.45665478649498104,0.3527325813834201,0.8068415234996814,0.6653302075453301,0.8032843428844072,0.8995562133707665,0.4908639320928154,0.796188509140813,0.7997271622691331,0.4118640227886426,Naive,False
7,6.201920747756958,0.4548479068649455,0.3438042768396145,0.8273712273639342,0.6571552637222229,0.8017118446643136,0.8948380801183212,0.47539603685497456,0.7933255716878423,0.7760524619646926,0.4106322235014616,Naive,False
8,6.155951261520386,0.42867667302879114,0.31876680869991947,0.8299766096577281,0.6307051747654997,0.7847660340084808,0.8690097402754938,0.43317101688554427,0.774257525195399,0.7395554583592334,0.3834756591591478,Naive,False
9,6.1588287353515625,0.3826108768080647,0.28414476982007975,0.7822014308068694,0.6097565297214591,0.7626922495280063,0.8472505575169174,0.38608634841450096,0.7499812620620021,0.7431830682491432,0.3437774659422836,Naive,False
10,6.123695135116577,0.395330181284121,0.2908654279732069,0.7968384305833254,0.6175865808491349,0.7714230245752057,0.8564753216575349,0.4142346415745564,0.7596192115335083,0.746007618567086,0.3581243907764079,Naive,False
