task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,10.412994861602783,0.0,0.0,0.05078929306794784,0.4625,0.026870007262164125,0.6755553270259153,0.01784627850164105,0.6314791682568875,0.5752753977968176,EWC
2,9.7294602394104,0.019720148992407177,-0.019720148992407177,0.0825605066959044,0.6741071428571428,0.044963889492314224,0.6557474833428418,0.04019342201594593,0.6457981129491741,1.1853051599428264,EWC
3,9.496898889541626,0.012354422305312793,-0.012354422305312793,0.17120689662220454,0.7250138427464009,0.10528309466671537,0.6917941884397939,0.09179366051561298,0.6881918096120289,1.4878971666626295,EWC
4,9.469635486602783,0.00824989563372792,-0.00824989563372792,0.1999999001656188,0.7205896503524836,0.12384780396601486,0.6835271489615727,0.10943701515473257,0.6786311141469333,2.0159980380996467,EWC
5,9.596206665039062,0.00618742172529594,-0.00618742172529594,0.22435152078360737,0.6901821709051892,0.14395149326740136,0.6729140037576534,0.12460128077684873,0.6689005664956996,2.8142795336462134,EWC
6,9.44524359703064,0.0049499373802367515,-0.0049499373802367515,0.2507709785461491,0.6894928943589754,0.16421400316537874,0.6604699214091401,0.14514435705320797,0.6558505892274068,3.486859738963551,EWC
7,9.527704000473022,0.00412494781686396,-0.00412494781686396,0.2629282742886044,0.6858734275228395,0.1728649515991582,0.6609508920069863,0.15234265551435097,0.6564498886913476,3.6579601246180067,EWC
8,9.65235948562622,0.0035356695573119656,-0.0035356695573119656,0.2586380346235557,0.6880151889321087,0.16831887644488386,0.6561007974624307,0.1490069577903189,0.6508410325056035,3.6070769558553586,EWC
9,9.751661777496338,0.00309371086264797,-0.00309371086264797,0.24355468242353273,0.6797353826635786,0.15720374465523002,0.6520696291682199,0.1390791995346334,0.6467106874891639,3.4366737225469937,EWC
10,11.20763897895813,0.0027499652112426397,-0.0027499652112426397,0.2500367776329561,0.6879373929865624,0.16081511243314378,0.6618051912135192,0.14174710958878786,0.6571093590608708,3.2973232383378352,EWC
