task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.334412336349487,0.0,0.0,0.0,0.4979645134034872,0.5,0.7201250585711834,0.02061318497095753,0.0,1.0,0.0,Naive,True
2,4.702899694442749,0.12793941693280547,0.07728257209732046,0.4676808377165468,0.5080363384863648,0.63817477456311,0.6748052503074856,0.076508309360709,0.6059232231808562,0.8086687114096732,0.12668101534121,Naive,False
3,4.559188604354858,0.2694064945326544,0.19899168418171573,0.5134789936392021,0.5986329841505077,0.6979365155811287,0.7641542064430068,0.17765207852341422,0.6662811950432806,0.882394037523055,0.2554014730855165,Naive,False
4,4.475604772567749,0.0,0.0,0.0,0.48353714046235097,0.5,0.7875965248329369,0.2213259632926552,0.0,1.0,0.0,Naive,False
5,4.758509635925293,0.15832857872274603,0.08871925653363329,0.9882098933886982,0.20514370286205602,0.5669359069596245,0.7622291256140917,0.2038303771879714,0.3761442837595077,0.1456619205305505,0.09860363566246969,Naive,False
6,4.450219631195068,0.3566329789910063,0.2554367626005594,0.6911193836655837,0.6083268675718662,0.7342484860825239,0.7964157795499863,0.278251496970281,0.729252885811544,0.7773775884994639,0.31176026347835134,Naive,False
7,4.725311517715454,0.3777205189347542,0.2992110630099797,0.580779295359464,0.6353955231068572,0.7126913611189224,0.7977312365134824,0.29572967382052046,0.6972180207099518,0.8446034268783803,0.3168773754182113,Naive,False
8,4.647264003753662,0.3960498111506815,0.2972027295509324,0.6710920634703976,0.6401136048440059,0.745724625508333,0.791698675138147,0.28237156016311543,0.7391402454960292,0.8203571875462682,0.3472297455558029,Naive,False
9,4.9666056632995605,0.3615026596799716,0.30133843141716476,0.5305344050860107,0.632324363926878,0.6978580153829592,0.7817705411077597,0.2816682473090001,0.674485142422392,0.8651816256799076,0.30456133662381046,Naive,False
10,4.856247425079346,0.346734298337148,0.29361122040013965,0.4925073186510872,0.6275741783512998,0.6842027027566496,0.7710091436328675,0.27108146190061194,0.6480842977017669,0.8758980868622122,0.288656467160101,Naive,False
