task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,5.299984931945801,0.0,0.0,0.0,0.4979645134034872,0.5,0.7383239619440103,0.01452891219689706,0.0,1.0,0.0,EWC,True
2,4.8103625774383545,0.0,0.0,0.0,0.4927620848913713,0.5,0.6567531858291971,0.07814265713144693,0.0,1.0,0.0,EWC,False
3,7.482457876205444,0.0,0.0,0.0,0.4880508630785434,0.5,0.72094297520943,0.15662721223251255,0.0,1.0,0.0,EWC,False
4,7.346466541290283,0.0,0.0,0.0,0.48353714046235097,0.5,0.7302436546741515,0.19029145685045645,0.0,1.0,0.0,EWC,False
5,7.7594616413116455,0.0,0.0,0.0,0.47972129099332933,0.5,0.7293162150686768,0.21923318851196605,0.0,1.0,0.0,EWC,False
6,7.2488181591033936,0.0,0.0,0.0,0.47325091862662383,0.5,0.7335739754698601,0.26558439125558936,0.0,1.0,0.0,EWC,False
7,7.702711343765259,0.0,0.0,0.0,0.4719883117981175,0.5,0.7369265845994823,0.2725935323894482,0.0,1.0,0.0,EWC,False
8,7.587398529052734,0.0,0.0,0.0,0.4723999840909585,0.5,0.7317273390491756,0.2663489007560138,0.0,1.0,0.0,EWC,False
9,8.07705807685852,0.0,0.0,0.0,0.4741924954292216,0.5,0.7324842532537708,0.25008098231597864,0.0,1.0,0.0,EWC,False
10,7.883927822113037,0.0,0.0,0.0,0.47482315346485765,0.5,0.7013805545075464,0.23148523193381315,0.0,1.0,0.0,EWC,False
