task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,2.725949764251709,0.09523809523809523,0.05263157894736842,0.5,0.5372929606625259,0.7307897545357525,0.951107257203842,0.06522350908599467,0.6933900450221018,0.9615795090715048,0.15254944732157144,EWC,True
2,1.7692785263061523,0.1291422826984526,0.07202797202797204,0.6875,0.5354182129135987,0.7893816604355306,0.9327827391939572,0.23440235756578964,0.7587463663766996,0.8912633208710614,0.19855354836336922,EWC,False
3,2.8581275939941406,0.3077854452439445,0.21899035773574518,0.7735260770975056,0.6059325796225074,0.8038083493274293,0.9311791721533478,0.42099828129823763,0.7808208935392535,0.834090621557353,0.32266575849080786,EWC,False
4,2.766402244567871,0.39371248364846334,0.2934752739451497,0.8003368655154369,0.6329690880842046,0.7961555408417258,0.9086028336511511,0.4599656868341794,0.7770350427422822,0.7919742161680148,0.3658398516082525,EWC,False
5,2.813976287841797,0.4695462581052114,0.36359377847815366,0.8334898313954003,0.6761606065085124,0.8202993080472589,0.9183233896379347,0.5193007994330598,0.8047384155617479,0.8071087846991176,0.4381357094753434,EWC,False
6,2.789530038833618,0.4903950703598294,0.37502485151168613,0.8532093976487775,0.6848464855298909,0.8265930897028978,0.913354035426342,0.5087071038523816,0.8127639856884009,0.7999767817570183,0.4565694543418541,EWC,False
7,2.8479743003845215,0.4837071698137058,0.36292452710218265,0.865545260779015,0.6740891283555206,0.8212872698778781,0.9078159866205425,0.49689179953410206,0.8073762802313169,0.7770292789767417,0.4484168246378088,EWC,False
8,2.895625591278076,0.45742828759028764,0.3385185571740057,0.8499860317530665,0.6542342938995049,0.8040129341640716,0.8885976759446597,0.4576093709501562,0.7915326954103307,0.7580398365750767,0.41933960084893884,EWC,False
9,2.9720304012298584,0.40824495842727265,0.3017366393500167,0.8222098060027258,0.6270035207384035,0.7853835730581221,0.8599891174471558,0.4080284206885689,0.7741745853459763,0.7485573401135185,0.37686644371902805,EWC,False
10,2.8656136989593506,0.4153796462580147,0.3051344039864436,0.8239173968310245,0.6315367287552661,0.7877380728951671,0.859171897441495,0.39787786071553244,0.7775930023587506,0.7515587489593095,0.3828688968990083,EWC,False
