task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,21.647918701171875,0.0,0.0,0.011461318051575931,0.025,0.007434944237918215,0.49726707116412994,0.008141809958457135,0.15592804139399,0.822827417380661,EWC
2,18.970860242843628,-0.01953187283830432,0.01953187283830432,0.08218302105252756,0.8142857142857143,0.04425732411248226,0.7346203851040708,0.07341948473954805,0.6625180943386165,0.9739587639590274,EWC
3,18.812143087387085,-0.00036911200760416166,0.010135048426756322,0.18093251625217063,0.8304263565891473,0.11015263140261232,0.7727518458339396,0.1534565830199883,0.7118316205548841,1.1005373643373488,EWC
4,18.480437994003296,-0.0012676216294469622,0.008024320580617845,0.21133083633736532,0.8238323981038813,0.1290359696635886,0.7690302179130529,0.17989750226436133,0.7009668410900054,1.4286722681902937,EWC
5,20.130454540252686,0.0018473527047281474,0.004197170774731579,0.23643595489672106,0.8179849021839681,0.14627364399469317,0.7579330919196121,0.19107347710830308,0.6937021700038741,1.8047047017391367,EWC
6,18.430415153503418,-0.0003355813892277237,0.005171200172795505,0.2693104128106735,0.8126964439572933,0.1712120122927264,0.7534052400602868,0.22333384836969214,0.6836562763837374,2.250260056601124,EWC
7,19.4009850025177,0.0004990467144104274,0.003983903659755651,0.2782986185684183,0.8097639054917936,0.17677827360978693,0.752557018039601,0.23170148804112825,0.6804362050360425,2.3721775575060033,EWC
8,19.394320964813232,-0.0008374037370110171,0.00467993262915337,0.2699983928316264,0.8058178533955449,0.17017965486428172,0.7454125842402903,0.22640960933141752,0.6649892995552515,2.407312526275036,EWC
9,19.7765953540802,-0.089172678343464,0.09326761939397318,0.33912293248412195,0.663024422248577,0.24127371837468925,0.7358472608848976,0.20931915580811242,0.7159271369505416,3.1301737554232627,EWC
10,20.61309790611267,0.08920120183080235,-0.006208326274015914,0.2465575957519177,0.8038599408725384,0.1528427301516735,0.7337123212002756,0.2014896968579035,0.6535521328995115,2.266307499129918,EWC
