task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,1.3362386226654053,0.0,0.0,0.043478260869565216,0.9230769230769231,0.022263450834879406,0.8726517698240063,0.15471669950238096,0.7114977087239832,0.5313559322033898,Naive
2,0.806699275970459,0.0012989990066478163,-0.0012989990066478163,0.18814299520060024,0.9480249480249481,0.1116317030409286,0.8764911769519853,0.25748458824760345,0.7127741799648017,0.6238220216340846,Naive
3,0.783766508102417,0.0006494995033239082,-0.0006494995033239082,0.2756634052511044,0.9612347390125168,0.1717447363338551,0.8714848805982327,0.3321586540656786,0.7056573500026292,0.6303233608851593,Naive
4,0.8002686500549316,0.00043299966888260544,-0.00043299966888260544,0.32628778382338575,0.9639167084649951,0.20807684493331813,0.868113325811958,0.3752251117570976,0.6927329876154841,0.7311251636618971,Naive
5,0.7987723350524902,0.0003247497516619541,-0.0003247497516619541,0.3324881326028565,0.9711333667719961,0.2099614759466545,0.8653941956202672,0.37935670964787765,0.703739715642502,0.66344467296214,Naive
6,0.7776651382446289,0.00025979980132956326,-0.00025979980132956326,0.36300356659303196,0.9741328781070981,0.23307773059411505,0.8468493124509237,0.38727548357782604,0.6987012115972835,0.6637079992254287,Naive
7,0.779961109161377,0.00021649983444130272,-0.00021649983444130272,0.3654213878529111,0.9778281812346555,0.23328280827156764,0.8362293694481835,0.3843417299213207,0.685072431355512,0.6449365268086092,Naive
8,0.7987179756164551,0.00018557128666397377,-0.00018557128666397377,0.3442936325382367,0.9805996585803236,0.21773407248263074,0.8348690150095104,0.36149441794775994,0.6723310386151206,0.6406565256341499,Naive
9,0.8049454689025879,0.00016237487583097704,-0.00016237487583097704,0.31926077473591347,0.9789887737286492,0.2005862624267804,0.8247074612422562,0.33454342653272495,0.6473346404634823,0.6727532681025925,Naive
10,0.7860591411590576,0.00014433322296086848,-0.00014433322296086848,0.30336257182678206,0.9810898963557844,0.1892397573962236,0.8194074897662663,0.31455909404446114,0.6389288297729939,0.6695736859731843,Naive
